"","country","NSFgeneral","NSFspecific","budget"
"1","Argentina",1.20026025004281,3.33229256258248,2.6536422714739
"2","Belize",1.16260801837493,3.36484472232287,2.65962485865956
"3","Bolivia",1.34233730066213,3.13813821310589,2.68327689787311
"4","Brazil",1.30587096036951,3.32041425629516,2.67602929535804
"5","Chile",1.27576656412416,3.35421659792616,2.7011071199052
"6","Colombia",1.37776457118346,3.30661566172984,2.667675991679
"7","Costa.Rica",1.23341658677806,3.13497249589578,2.62595263552296
"8","Ecuador",1.40170071390931,3.14824473630983,2.66312434471833
"9","Mexico",1.28131877774979,3.32066251963845,2.69014013490252
"10","Panama",1.19465303641679,3.09908336749997,2.52962085492603
"11","Paraguay",1.34515295327038,2.90302903636873,2.28283313166114
"12","Peru",1.29429737230078,3.26130851381039,2.61928362689241
"13","Uruguay",1.27480501242888,3.33343593727959,2.64228057945042
"14","Venezuela",1.20602523417155,3.3931883959876,2.66427275534723
