country,NSFgeneral,NSFspecific,theme
Argentina,1.21103734049901,3.38069615567452,3.3664164952496
Bahamas,1.41922305494585,2.97823051034489,2.85465984478369
Belize,1.10206204729188,3.08623022885071,3.29857686733849
Bolivia,1.35213440907404,3.18785160411001,3.35715453197026
Brazil,1.30531223574325,3.36235961044507,3.41145294915623
Chile,1.26329746532713,3.39354280947326,3.40167157882401
Colombia,1.39124935779619,3.31434616678413,3.39104484558979
Costa.Rica,1.26937287092262,3.30444030118606,3.40427846938392
Cuba,1.48276839730138,2.59011691970466,2.93558910819868
Ecuador,1.38498239146728,3.16350947592786,3.34720239931261
El.Salvador,1.23527541941237,2.59553483926763,2.66090803051729
Guatemala,1.34893802157789,3.04116865918597,3.09295359361899
Haiti,1.20384600914061,2.60511707570241,2.61361811386241
Honduras,1.4840946541287,2.60542962442734,2.69846538672701
Jamaica,1.27852438167841,2.35878205848225,2.59422905158549
Mexico,1.28170799633445,3.39003797707636,3.42893172650112
Nicaragua,1.40612868872116,2.87757998237148,2.91097372656384
Panama,1.18891441917043,3.3146323835992,3.36544377368439
Paraguay,1.34969993922781,2.59905511950236,3.03712810819593
Peru,1.3000543597088,3.33807321859229,3.39322734732424
Uruguay,1.28475712082935,3.35150562242425,3.37175474041097
Venezuela,1.17821933099462,3.44930846299849,3.41557074072831
